,Annualized Volatility
AMZN,0.34417540500978644
CAT,0.3278551446543446
GOOGL,0.3156675106268564
XOM,0.3098349547894078
AAPL,0.30859072098867
JPM,0.2947467426996259
MSFT,0.293419068904044
PG,0.20226344256287804
KO,0.1993062038855674
JNJ,0.19341478510886972
