Date,AAPL,MSFT,AMZN,GOOGL,JNJ,XOM,JPM,KO,PG,CAT
2019-01-02,37.469207763671875,94.19316101074219,76.95649719238281,52.2705078125,103.79097747802734,49.66474914550781,80.47398376464844,37.341590881347656,74.78993225097656,107.8235855102539
2019-01-03,33.73699951171875,90.72795867919922,75.01399993896484,50.82284164428711,102.14171600341797,48.90220260620117,79.3302993774414,37.11083984375,74.26557922363281,103.66864776611328
2019-01-04,35.17720413208008,94.94764709472656,78.76950073242188,53.42972946166992,103.85596466064453,50.7052116394043,82.25482177734375,37.85083770751953,75.7813720703125,109.33366394042969
2019-01-07,35.098907470703125,95.06876373291016,81.47550201416016,53.32317352294922,103.18977355957031,50.96889114379883,82.31204223632812,37.35749816894531,75.47821044921875,109.40193176269531
2019-01-08,35.76799774169922,95.758056640625,82.8290023803711,53.79152297973633,105.58650207519531,51.339473724365234,82.15682220458984,37.77922058105469,75.75678253173828,110.71582794189453
2019-01-09,36.375404357910156,97.12732696533203,82.97100067138672,53.60715103149414,104.74967193603516,51.61027908325195,82.0179443359375,37.055152893066406,74.51957702636719,111.14241790771484
2019-01-10,36.491661071777344,96.50324249267578,82.81099700927734,53.46739196777344,105.3833999633789,51.346614837646484,82.00975799560547,37.45299530029297,74.69981384277344,113.43741607666016
2019-01-11,36.133392333984375,95.758056640625,82.02799987792969,52.75570297241211,105.4158935546875,51.111427307128906,81.61766052246094,37.66782760620117,75.19143676757812,112.7037124633789
2019-01-14,35.59004211425781,95.05943298339844,80.8604965209961,52.11339569091797,104.22157287597656,51.047298431396484,82.45909118652344,37.51664733886719,74.68342590332031,112.44776153564453
2019-01-15,36.31846618652344,97.81665802001953,83.72799682617188,53.84801483154297,105.0990219116211,51.0757942199707,83.06361389160156,37.85083770751953,75.38807678222656,111.50074005126953
2019-01-16,36.76215362548828,98.16133117675781,84.18900299072266,53.9966926574707,104.02658081054688,51.054412841796875,83.73345947265625,37.333641052246094,74.86369323730469,112.32830810546875
2019-01-17,36.98042678833008,98.85064697265625,84.66100311279297,54.47297286987305,104.8796615600586,51.40361785888672,84.07655334472656,37.44503402709961,74.85295867919922,114.78545379638672
2019-01-18,37.208221435546875,100.33172607421875,84.80999755859375,54.878379821777344,106.17959594726562,52.0164680480957,85.44080352783203,37.882659912109375,75.4970932006836,117.292724609375
2019-01-22,36.373043060302734,98.44076538085938,81.6084976196289,53.45747756958008,104.6440658569336,51.232582092285156,84.0928955078125,37.970191955566406,74.68779754638672,113.5489501953125
2019-01-23,36.520145416259766,99.40023040771484,82.0009994506836,53.74394226074219,104.6440658569336,50.812110900878906,83.88050079345703,38.40782928466797,78.32142639160156,113.18834686279297
2019-01-24,36.23066711425781,98.92514038085938,82.74649810791016,53.7236213684082,103.20601654052734,50.88338088989258,83.92952728271484,37.94632339477539,77.87549591064453,113.9697265625
2019-01-25,37.43124771118164,99.8287124633789,83.52850341796875,54.59142303466797,104.18096160888672,51.111427307128906,84.46051025390625,37.69170379638672,77.29740905761719,117.51594543457031
2019-01-28,37.084842681884766,97.88187408447266,81.89450073242188,53.5184440612793,104.79842376708984,50.769351959228516,84.86078643798828,37.53256607055664,77.23136138916016,106.79133605957031
2019-01-29,36.700462341308594,95.88844299316406,79.69400024414062,53.03274917602539,105.88710021972656,50.96177673339844,85.09768676757812,37.715579986572266,77.24784088134766,108.64604949951172
2019-01-30,39.2083625793457,99.09282684326172,83.52149963378906,54.41697311401367,106.95143127441406,51.51764678955078,85.29375457763672,38.081581115722656,78.05716705322266,111.72001647949219
2019-01-31,39.49073028564453,97.27639770507812,85.9365005493164,55.79971694946289,108.121337890625,52.223167419433594,84.55037689208984,38.29643630981445,79.66751861572266,114.33894348144531
2019-02-01,39.50969696044922,95.73942565917969,81.3115005493164,55.43940734863281,109.03131103515625,54.10456085205078,84.86078643798828,38.749969482421875,80.49337005615234,112.40695190429688
2019-02-04,40.6319694519043,98.49666595458984,81.66549682617188,56.56938934326172,107.95889282226562,53.32064437866211,85.1630630493164,39.187591552734375,80.95580291748047,112.38121032714844
2019-02-05,41.32716369628906,99.8752670288086,82.94049835205078,57.08729934692383,107.95889282226562,53.86939239501953,84.78726196289062,39.1955451965332,80.46857452392578,113.3428726196289
2019-02-06,41.341392517089844,98.76677703857422,82.01300048828125,55.651031494140625,108.05635833740234,53.63422775268555,84.74644470214844,39.1955451965332,80.86498260498047,112.08927154541016
2019-02-07,40.55841827392578,98.05885314941406,80.71849822998047,54.80949783325195,107.28453063964844,53.22089767456055,83.63543701171875,39.32285690307617,80.22081756591797,110.57803344726562
2019-02-08,40.606082916259766,98.43144226074219,79.41100311279297,54.63454818725586,107.5688705444336,53.307334899902344,82.80216979980469,39.38652038574219,80.69153594970703,110.42346954345703
2019-02-11,40.372554779052734,98.04019927978516,79.55000305175781,54.62166213989258,107.24391174316406,53.393829345703125,82.4100570678711,39.47404479980469,81.15402221679688,110.70681762695312
2019-02-12,40.7204475402832,99.56788635253906,81.90049743652344,55.88346862792969,108.9988021850586,54.3305549621582,83.81513214111328,39.51382064819336,81.97156524658203,113.9181900024414
2019-02-13,40.55126953125,99.49337768554688,82.0,55.93550491333008,109.23444366455078,54.943023681640625,84.21542358398438,39.61725997924805,81.95503997802734,114.28742980957031
2019-02-14,40.69900894165039,99.57720947265625,81.13249969482422,55.9637565612793,109.12068939208984,54.95742416381836,83.66810607910156,36.27537155151367,81.31092834472656,113.8752670288086
2019-02-15,40.608463287353516,100.8067855834961,80.39749908447266,55.48945999145508,110.80247497558594,55.99504470825195,86.22503662109375,35.996883392333984,81.32743835449219,116.94921875
2019-02-19,40.7299919128418,100.76020050048828,81.37899780273438,55.83043670654297,110.24188995361328,56.369747161865234,85.92279815673828,35.670650482177734,82.57442474365234,116.60581970214844
2019-02-20,40.992095947265625,100.2363510131836,81.1050033569336,55.53703689575195,110.77809143066406,56.585914611816406,86.33941650390625,35.885494232177734,81.98807525634766,120.4783706665039
2019-02-21,40.76095962524414,102.35050964355469,80.97200012207031,54.72523498535156,110.02251434326172,56.07430648803711,86.15970611572266,36.49020767211914,82.40101623535156,119.25045776367188
2019-02-22,41.21607971191406,103.80985260009766,81.5780029296875,55.337310791015625,110.9811782836914,56.50664520263672,85.77574920654297,36.028717041015625,82.7891616821289,119.07869720458984
2019-02-25,41.516326904296875,104.38984680175781,81.6500015258789,55.3754768371582,111.3901138305664,56.56429672241211,86.67433166503906,35.7581787109375,82.22758483886719,121.4228744506836
2019-02-26,41.5401496887207,105.11016082763672,81.81999969482422,55.6074104309082,111.31651306152344,56.67959976196289,86.01264953613281,35.55924987792969,82.44231414794922,118.4776611328125
2019-02-27,41.668819427490234,104.93241882324219,82.05449676513672,55.651031494140625,111.12019348144531,57.26324462890625,85.90645599365234,35.7581787109375,81.68254852294922,119.85152435302734
2019-02-28,41.25896453857422,104.80144500732422,81.99150085449219,55.83242416381836,111.74998474121094,56.94619369506836,85.25289916992188,36.07645797729492,81.38524627685547,117.92811584472656
2019-03-01,41.692649841308594,105.2691879272461,83.58650207519531,56.921268463134766,113.14849853515625,57.645137786865234,85.31009674072266,36.10829544067383,81.29439544677734,118.03975677490234
2019-03-04,41.9023551940918,105.01661682128906,84.80850219726562,57.164119720458984,113.25476837158203,57.868507385253906,85.11404418945312,36.323123931884766,81.64950561523438,118.79537200927734
2019-03-05,41.82609939575195,104.49275970458984,84.62149810791016,57.94568634033203,113.49198150634766,57.78206253051758,85.0486831665039,36.28334045410156,81.83118438720703,117.75641632080078
2019-03-06,41.58543014526367,104.5395278930664,83.44750213623047,57.73505401611328,113.75365447998047,57.126338958740234,84.73011016845703,36.163978576660156,81.69906616210938,115.77291107177734
2019-03-07,41.10409927368164,103.26729583740234,81.29750061035156,57.0367431640625,113.05850982666016,57.76042938232422,84.1174087524414,36.028717041015625,81.38524627685547,114.02981567382812
2019-03-08,41.20179748535156,103.3795394897461,81.04000091552734,56.99312973022461,112.91130065917969,56.931785583496094,84.15009307861328,35.678619384765625,81.26963806152344,112.7847671508789
2019-03-11,42.62910842895508,105.54985809326172,83.53099822998047,58.444759368896484,113.32022094726562,57.48661804199219,85.2447509765625,36.74484634399414,82.23583984375,114.29600524902344
2019-03-12,43.108062744140625,106.28885650634766,83.65499877929688,59.33634948730469,113.82727813720703,57.645137786865234,84.99150085449219,36.641387939453125,82.6240005493164,113.75503540039062
2019-03-13,43.2986946105957,107.11207580566406,84.54049682617188,59.42605209350586,114.0154037475586,58.156734466552734,85.27742767333984,36.77665710449219,83.55716705322266,114.6308822631836
2019-03-14,43.780033111572266,107.19628143310547,84.31099700927734,59.10242462158203,112.87860107421875,57.96220016479492,86.053466796875,36.68034362792969,83.67279815673828,114.79402923583984
2019-03-15,44.349525451660156,108.43111419677734,85.61799621582031,58.991912841796875,112.53510284423828,57.75321960449219,87.04193878173828,36.35928726196289,84.59771728515625,113.9181900024414
2019-03-18,44.802276611328125,109.9840087890625,87.10749816894531,58.905174255371094,112.18343353271484,58.42335891723633,87.56477355957031,36.44758224487305,83.82969665527344,115.14608764648438
2019-03-19,44.44723129272461,110.05883026123047,88.09249877929688,59.59456253051758,113.22208404541016,58.272029876708984,87.24618530273438,36.56797409057617,84.1517562866211,115.18901062011719
2019-03-20,44.83562469482422,109.93721008300781,89.8635025024414,60.78253173828125,112.28157043457031,58.59629821777344,85.38362884521484,36.54389953613281,84.00309753417969,114.21012878417969
2019-03-21,46.486942291259766,112.4630126953125,90.96299743652344,61.26325988769531,112.94404602050781,58.93496322631836,84.03572082519531,36.5278434753418,84.63899993896484,115.11172485351562
2019-03-22,45.524269104003906,109.49754333496094,88.2385025024414,59.85177993774414,111.97079467773438,57.99101638793945,81.4951171875,36.864952087402344,83.95355224609375,111.42808532714844
2019-03-25,44.973838806152344,110.06819915771484,88.71299743652344,59.342796325683594,111.7254409790039,57.58750534057617,80.81708526611328,36.94520950317383,84.20130920410156,112.81053924560547
2019-03-26,44.50917434692383,110.30205535888672,89.18800354003906,58.9691047668457,113.32840728759766,58.336875915527344,81.62584686279297,37.434810638427734,85.07669067382812,113.20551300048828
2019-03-27,44.90949630737305,109.23560333251953,88.28500366210938,58.3828125,113.4347152709961,57.89012145996094,81.34807586669922,37.410743713378906,84.97760009765625,112.65594482421875
2019-03-28,44.96906661987305,109.38529968261719,88.6709976196289,58.09832763671875,113.5819320678711,58.17838668823242,82.27117919921875,37.38666534423828,85.51436614990234,113.66060638427734
2019-03-29,45.26215362548828,110.33012390136719,89.0374984741211,58.327301025390625,114.32616424560547,58.221595764160156,82.69596862792969,37.61140441894531,85.92729949951172,116.33963012695312
2019-04-01,45.569549560546875,111.34044647216797,90.70950317382812,59.42209243774414,113.66371154785156,58.89171600341797,85.48163604736328,37.4990348815918,85.58869171142578,120.42682647705078
2019-04-02,46.23196792602539,111.49947357177734,90.6989974975586,59.74720764160156,112.62507629394531,58.63950729370117,85.89013671875,37.37863540649414,85.67955017089844,120.37533569335938
2019-04-03,46.54889678955078,112.2291488647461,91.03500366210938,60.00838851928711,112.18343353271484,58.29366683959961,86.06166076660156,37.065616607666016,85.63001251220703,119.57675170898438
2019-04-04,46.629905700683594,111.65850830078125,90.94300079345703,60.43659973144531,110.87487030029297,59.122310638427734,86.89307403564453,37.306392669677734,85.41527557373047,120.3238296508789
2019-04-05,46.94207763671875,112.15431213378906,91.86399841308594,60.04011535644531,111.37374114990234,59.43934631347656,86.687255859375,37.298377990722656,85.59695434570312,120.52130126953125
2019-04-08,47.68074417114258,112.19172668457031,92.49299621582031,59.88300323486328,111.34104919433594,59.80683898925781,86.96713256835938,37.362579345703125,86.68704986572266,120.0575942993164
2019-04-09,47.537784576416016,111.58366394042969,91.79199981689453,59.60596466064453,110.87487030029297,59.03584289550781,86.32506561279297,37.458892822265625,86.4310302734375,117.07805633544922
2019-04-10,47.80465316772461,112.43496704101562,92.36650085449219,59.79230880737305,110.88306427001953,58.76922607421875,86.71195220947266,37.434810638427734,86.42282104492188,118.09127807617188
2019-04-11,47.406715393066406,112.56592559814453,92.20349884033203,59.94792938232422,110.58045196533203,59.05022430419922,87.44457244873047,37.491004943847656,86.50537109375,119.24188995361328
2019-04-12,47.38764953613281,113.14591979980469,92.15299987792969,60.599159240722656,111.2101821899414,58.30806350708008,91.54393005371094,37.51507568359375,86.7613754272461,121.24256134033203
